"cluster_membership","name","degrees","color"
1,"X114821_Veillonella_Veillonella.parvula",2,"#FF0000"
2,"X117676_NA_NA",4,"#FF3B00"
1,"X127309_Bacteroides_NA",2,"#FF0000"
3,"X13825_Dialister_Dialister.pneumosintes",3,"#FF7600"
1,"X145149_Veillonella_NA",1,"#FF0000"
2,"X157566_Alistipes_NA",6,"#FF3B00"
1,"X158222_Oscillospira_NA",6,"#FF0000"
4,"X158660_Bacteroides_NA",1,"#FFB100"
2,"X16076_Ruminococcus_Ruminococcus.bromii",4,"#FF3B00"
5,"X168181_Alistipes_NA",0,"#FFEB00"
4,"X174194_Bacteroides_NA",2,"#FFB100"
6,"X174809_Bacteroides_NA",1,"#D8FF00"
7,"X175685_NA_NA",7,"#9DFF00"
8,"X176495_Holdemania_NA",0,"#62FF00"
7,"X177005_Blautia_NA",14,"#9DFF00"
1,"X178513_NA_NA",2,"#FF0000"
9,"X178578_NA_NA",1,"#27FF00"
2,"X179287_Faecalibacterium_NA",3,"#FF3B00"
10,"X179807_NA_NA",4,"#00FF14"
7,"X180248_NA_NA",8,"#9DFF00"
11,"X180285_Faecalibacterium_NA",5,"#00FF4E"
2,"X181056_Faecalibacterium_NA",8,"#FF3B00"
2,"X181882_Eubacterium_NA",10,"#FF3B00"
12,"X181943_Prevotella_NA",0,"#00FF89"
11,"X182087_Faecalibacterium_NA",3,"#00FF4E"
7,"X182190_Clostridium_NA",3,"#9DFF00"
7,"X182512_Coprococcus_NA",15,"#9DFF00"
7,"X182539_Eubacterium_NA",5,"#9DFF00"
9,"X182994_Roseburia_Eubacterium.rectale",8,"#27FF00"
7,"X183879_NA_NA",3,"#9DFF00"
1,"X184729_Ruminococcus_Ruminococcus.gnavus",1,"#FF0000"
13,"X185281_Clostridium_NA",0,"#00FFC4"
6,"X186029_Collinsella_Collinsella.aerofaciens",2,"#D8FF00"
11,"X187010_Faecalibacterium_NA",3,"#00FF4E"
14,"X187164_NA_NA",0,"#00FFFF"
7,"X189310_Blautia_NA",3,"#9DFF00"
1,"X190467_NA_NA",3,"#FF0000"
7,"X192071_Ruminococcus_NA",11,"#9DFF00"
15,"X192132_Bilophila_Bilophila.wadsworthia",0,"#00C4FF"
7,"X194648_NA_NA",10,"#9DFF00"
9,"X194651_NA_NA",2,"#27FF00"
7,"X194870_Eubacterium_NA",13,"#9DFF00"
7,"X195572_Clostridium_NA",6,"#9DFF00"
16,"X195926_NA_NA",0,"#0089FF"
7,"X196105_NA_NA",5,"#9DFF00"
9,"X198426_NA_NA",5,"#27FF00"
7,"X198941_NA_NA",4,"#9DFF00"
11,"X199293_Faecalibacterium_NA",3,"#00FF4E"
9,"X203590_NA_NA",4,"#27FF00"
2,"X203620_Lachnospira_NA",9,"#FF3B00"
17,"X203788_Clostridium_NA",0,"#004EFF"
2,"X203991_Clostridium_NA",6,"#FF3B00"
2,"X204932_NA_NA",3,"#FF3B00"
9,"X205304_Clostridium_NA",3,"#27FF00"
2,"X205618_Clostridium_NA",14,"#FF3B00"
18,"X208415_NA_NA",0,"#0014FF"
2,"X208565_NA_NA",1,"#FF3B00"
7,"X211903_Clostridium_NA",6,"#9DFF00"
2,"X212503_NA_NA",4,"#FF3B00"
2,"X212878_Coprococcus_NA",11,"#FF3B00"
2,"X214009_NA_NA",1,"#FF3B00"
9,"X214980_NA_NA",2,"#27FF00"
10,"X237138_Blautia_NA",1,"#00FF14"
1,"X237324_Clostridium_NA",3,"#FF0000"
2,"X244304_Bacteroides_NA",4,"#FF3B00"
4,"X248140_Bacteroides_Bacteroides.caccae",3,"#FFB100"
19,"X25165_Bacteroides_NA",0,"#2700FF"
4,"X252508_Parabacteroides_Parabacteroides.distasonis",3,"#FFB100"
7,"X261912_Dorea_Dorea.formicigenerans",11,"#9DFF00"
4,"X268332_Bacteroides_NA",3,"#FFB100"
2,"X277489_Coprococcus_Coprococcus.catus",2,"#FF3B00"
2,"X278234_Akkermansia_Akkermansia.muciniphila",3,"#FF3B00"
7,"X294710_Clostridium_NA",1,"#9DFF00"
20,"X303877_Parabacteroides_Parabacteroides.distasonis",0,"#6200FF"
21,"X305760_Escherichia_NA",1,"#9D00FF"
1,"X308873_Clostridium_Clostridium.orbiscindens",2,"#FF0000"
7,"X312986_Blautia_NA",5,"#9DFF00"
7,"X318760_NA_NA",19,"#9DFF00"
7,"X319438_NA_NA",19,"#9DFF00"
2,"X320768_Oscillospira_NA",4,"#FF3B00"
2,"X321740_Oscillospira_NA",5,"#FF3B00"
4,"X322235_Bacteroides_Bacteroides.uniformis",2,"#FFB100"
2,"X329241_NA_NA",2,"#FF3B00"
7,"X334393_Bacteroides_NA",1,"#9DFF00"
7,"X340615_Coprococcus_NA",6,"#9DFF00"
4,"X345104_Bacteroides_NA",1,"#FFB100"
2,"X345319_NA_NA",14,"#FF3B00"
2,"X347862_Odoribacter_NA",6,"#FF3B00"
2,"X349216_Bacteroides_Bacteroides.uniformis",6,"#FF3B00"
9,"X352304_NA_NA",3,"#27FF00"
