"cluster_membership","name","degrees","color"
1,"X127309_Bacteroides_NA",3,"#FF0000"
2,"X13825_Dialister_Dialister.pneumosintes",4,"#FF4600"
2,"X14227_Peptostreptococcus_Peptostreptococcus.anaerobius",4,"#FF4600"
3,"X145149_Veillonella_NA",0,"#FF8B00"
4,"X15054_Granulicatella_Granulicatella.elegans",0,"#FFD100"
5,"X157566_Alistipes_NA",6,"#E8FF00"
6,"X158660_Bacteroides_NA",3,"#A2FF00"
6,"X16076_Ruminococcus_Ruminococcus.bromii",2,"#A2FF00"
7,"X174809_Bacteroides_NA",0,"#5DFF00"
5,"X175685_NA_NA",8,"#E8FF00"
5,"X177005_Blautia_NA",7,"#E8FF00"
5,"X180285_Faecalibacterium_NA",10,"#E8FF00"
5,"X181056_Faecalibacterium_NA",13,"#E8FF00"
8,"X181882_Eubacterium_NA",2,"#17FF00"
5,"X182190_Clostridium_NA",4,"#E8FF00"
5,"X182512_Coprococcus_NA",6,"#E8FF00"
5,"X182539_Eubacterium_NA",14,"#E8FF00"
5,"X182994_Roseburia_Eubacterium.rectale",9,"#E8FF00"
9,"X184729_Ruminococcus_Ruminococcus.gnavus",1,"#00FF2E"
5,"X186029_Collinsella_Collinsella.aerofaciens",3,"#E8FF00"
5,"X192071_Ruminococcus_NA",15,"#E8FF00"
5,"X194648_NA_NA",15,"#E8FF00"
5,"X194870_Eubacterium_NA",14,"#E8FF00"
5,"X195572_Clostridium_NA",7,"#E8FF00"
10,"X195926_NA_NA",0,"#00FF74"
11,"X198426_NA_NA",3,"#00FFB9"
12,"X198941_NA_NA",2,"#00FFFF"
5,"X199293_Faecalibacterium_NA",7,"#E8FF00"
1,"X203590_NA_NA",4,"#FF0000"
13,"X205618_Clostridium_NA",4,"#00B9FF"
5,"X211903_Clostridium_NA",5,"#E8FF00"
14,"X212503_NA_NA",1,"#0074FF"
15,"X237324_Clostridium_NA",1,"#002EFF"
6,"X248140_Bacteroides_Bacteroides.caccae",3,"#A2FF00"
16,"X25165_Bacteroides_NA",0,"#1700FF"
6,"X252508_Parabacteroides_Parabacteroides.distasonis",1,"#A2FF00"
5,"X261912_Dorea_Dorea.formicigenerans",21,"#E8FF00"
5,"X277489_Coprococcus_Coprococcus.catus",5,"#E8FF00"
17,"X303877_Parabacteroides_Parabacteroides.distasonis",0,"#5D00FF"
18,"X305760_Escherichia_NA",3,"#A200FF"
18,"X307080_NA_NA",3,"#A200FF"
18,"X307981_Klebsiella_NA",3,"#A200FF"
5,"X318760_NA_NA",10,"#E8FF00"
6,"X320768_Oscillospira_NA",2,"#A2FF00"
8,"X321740_Oscillospira_NA",4,"#17FF00"
6,"X322235_Bacteroides_Bacteroides.uniformis",2,"#A2FF00"
6,"X345104_Bacteroides_NA",2,"#A2FF00"
13,"X345319_NA_NA",5,"#00B9FF"
8,"X347862_Odoribacter_NA",2,"#17FF00"
5,"X349216_Bacteroides_Bacteroides.uniformis",5,"#E8FF00"
11,"X352304_NA_NA",2,"#00FFB9"
2,"X374052_Fusobacterium_NA",1,"#FF4600"
5,"X469709_Bacteroides_Bacteroides.dorei",8,"#E8FF00"
15,"X469991_Clostridium_Clostridium.bolteae",2,"#002EFF"
19,"X470139_Clostridium_Clostridium.ramosum",0,"#E800FF"
2,"X470239_Dialister_Dialister.invisus",1,"#FF4600"
20,"X470429_Fusobacterium_Fusobacterium.necrophorum",0,"#FF00D1"
2,"X470462_Gemella_Gemella.haemolysans",4,"#FF4600"
2,"X470805_NA_Parvimonas.micra",6,"#FF4600"
5,"X470973_Ruminococcus_Ruminococcus.torques",7,"#E8FF00"
21,"X49274_Clostridium_NA",0,"#FF008B"
2,"X500281_NA_NA",7,"#FF4600"
18,"X539107_Erwinia_Pantoea.dispersa",3,"#A200FF"
5,"X541301_Parabacteroides_NA",3,"#E8FF00"
5,"X557450_NA_NA",13,"#E8FF00"
22,"X561636_Streptococcus_NA",0,"#FF0046"
2,"X64396_Fusobacterium_NA",3,"#FF4600"
5,"X72853_Faecalibacterium_NA",11,"#E8FF00"
2,"X89770_Peptostreptococcus_Peptostreptococcus.anaerobius",4,"#FF4600"
15,"X90431_Clostridium_NA",1,"#002EFF"
