"","feature","enrich_group","ef_lda","pvalue","padj"
"marker1","k__Bacteria|p__Firmicutes|c__Clostridia","Healthy",4.93408902004353,2.57754146700436e-06,2.57754146700436e-06
"marker2","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales","Healthy",4.93408902004353,2.57754146700436e-06,2.57754146700436e-06
"marker3","k__Bacteria|p__Firmicutes","Healthy",4.89803923059116,0.000142503182381403,0.000142503182381403
"marker4","k__Bacteria|p__Bacteroidetes|c__Bacteroidia","Healthy",4.80207894951909,0.0109384123311826,0.0109384123311826
"marker5","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales","Healthy",4.80207894951909,0.0109384123311826,0.0109384123311826
"marker6","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae","Healthy",4.79540564782092,0.000370605941580923,0.000370605941580923
"marker7","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_Bacteroides","Healthy",4.79540564782092,0.000370605941580923,0.000370605941580923
"marker8","k__Bacteria|p__Bacteroidetes","Healthy",4.76624734113985,0.0181428820659963,0.0181428820659963
"marker9","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae","Healthy",4.75053409050543,6.52965921854845e-07,6.52965921854845e-07
"marker10","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium","Healthy",4.55628610284495,1.47209148289539e-06,1.47209148289539e-06
"marker11","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_s__","Healthy",4.5550579181838,1.60756860856833e-06,1.60756860856833e-06
"marker12","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae","Healthy",4.51205144231962,0.000548285799072625,0.000548285799072625
"marker13","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_Bacteroides|s__Bacteroidaceae_Bacteroides_s__","Healthy",4.43095644525574,0.00161226846126484,0.00161226846126484
"marker14","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_Bacteroides|s__Bacteroides dorei","Healthy",4.28370935427075,0.0189702539516135,0.0189702539516135
"marker15","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae","Healthy",4.11596427800224,0.00382236214858544,0.00382236214858544
"marker16","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_g__","Healthy",4.05743663504974,5.72294452325023e-05,5.72294452325023e-05
"marker17","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_g__|s__Ruminococcaceae_g___s__","Healthy",4.05743663504974,5.72294452325023e-05,5.72294452325023e-05
"marker18","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_g__","Healthy",4.01531994437706,0.00341499593933904,0.00341499593933904
"marker19","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_g__|s__Lachnospiraceae_g___s__","Healthy",4.01531994437706,0.00341499593933904,0.00341499593933904
"marker20","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides","Healthy",3.99350618906964,0.000768915826389794,0.000768915826389794
"marker21","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales","Healthy",3.96238994542624,0.000910412107606052,0.000910412107606052
"marker22","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae","Healthy",3.96208560307481,0.000195651539385839,0.000195651539385839
"marker23","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria","Healthy",3.96097988011082,0.00160883999878058,0.00160883999878058
